Designator,Footprint,Quantity,Value,LCSC Part #
AE1,GPS_Ceramic_Antenna_8x8mm_v1.0,1,Ceramic GPS Antenna,
AE3,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
BT1,Battery_solder_terminals_v1,1,"LiPo 3,7V 380mAh",
BT2,DMS_3R3_224_supercap_feets_v1,1,ML621 3.0V,
C1,0402,1,1.0pF,
"C10, C16, C19, C20, C25, C26, C28, C29, C30, C31, C32, C33, C38, C39, C40, C41, C42, C43, C44, C45, C8",0402,21,100nF,
"C11, C13, C14, C2, C3, C5, C6, C9",0402,8,10uF,
"C15, C34, C36, C37, C7",0402,5,1uF,
C17,DMS_3R3_224_supercap_feets_v1,1,0.22F 3.0V supercap,
"C18, C21",0402,2,100pF,
"C22, C27, C35, C4",0402,4,4.7uF,
C23,0402,1,47pF,
C24,0402,1,10nF,
CARD1,TF-SMD_TF-PUSH,1,TF PUSH,C393941
CN1,CONN-SMD_BD2.0-H2.0_YZR0028-15020-01,1,Qvar_Electrode_2,C7429439
CN2,TestPoint_Pad_D3.0mm,1,Qvar_Electrode_1,C7429439
D1,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BR,1,TPD2E001DRLR,C150526
"D2, D3, D4",D_SOD-323,3,1N4148WS,
"D5, D6",D_SOD-882,2,ST ESDALCL5-1BM2,
J1,Connector_b2b_OK-F024-04_v1,1,Conn_02x12_OK-14F024-04_v1,
J2,Custom_8_pin_for_SmartWatch_v4-MB-straightline,1,MB Interface,
J3,Custom_8_pin_for_SmartWatch_v4-DB-semicircle,1,DB-Interface,
L1,0402,1,2.7nH,
L2,0402,1,3.9nH,
"L3, L5",1008,2,2.2uH,
L4,0402,1,"27nH, 5%",
LED1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,1,WS2812B-2020,C965555
LED2,LED-SMD_TJ-S4008SW4TGLCCW-A5,1,TJ-S4008SW4TGLCCW-A5,C601698
M1,Battery_solder_terminals_v1,1,ELV1411A,
"R1, R10, R13, R14, R17, R2, R20, R24, R27, R28, R30, R31, R33, R35, R36, R4",0402,16,10k,
"R12, R19, R21, R22, R29, R3, R5, R6, R7, R8, R9",0402,11,5k1,
R15,0402,1,100k,
"R16, R18",0402,2,470R,
"R23, R25, R26, R32",0402,4,47R,
SW1,KEY-SMD_4P-SKSCLXX010,1,SKSCLBE010,C115361
SW2,SW-SMD_EC05E1220401-CUSTOM-ORIENT_v1,1,EC05E1220401,C116648
TH1,0402,1,NTC 10k,C77131
TP1,TestPoint_Pad_D1.0mm,1,50R BLE sig,
TP10,TestPoint_Pad_1.0x1.0mm,1,SDA,
TP11,TestPoint_Pad_1.0x1.0mm,1,SCL,
TP13,TestPoint_Pad_D1.0mm,1,50R BLE gnd,
TP14,TestPoint_Pad_D1.0mm,1,VEML_INT,
TP15,TestPoint_Pad_D1.0mm,1,BQ_STAT,
TP17,TestPoint_Pad_D1.0mm,1,SD_Cd,
TP18,TestPoint_Pad_D1.0mm,1,LIS_INT,
TP19,TestPoint_Pad_D1.0mm,1,LIS_DRDY,
TP2,TestPoint_Pad_D1.0mm,1,PMIC_GOOD,
TP20,TestPoint_Pad_D1.0mm,1,LSM_INT2,
TP21,TestPoint_Pad_D1.0mm,1,M10S_RST,
TP23,TestPoint_Pad_D1.0mm,1,BQ_INT,
TP3,TestPoint_Pad_D1.0mm,1,TMP_ALRT,
TP8,TestPoint_Pad_1.0x1.0mm,1,RGB_DO,
U1,WIRELM-SMD_ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U-N16R8,C3013946
U10,MIC-SMD_6P-L4.0-W2.0_LMD4020T261-OC3,1,MSM261DGT003,C48227730
U11,SENSORS-SMD_VEML6030,1,VEML6030,C132182
U12,SC-70-3_L2.0-W1.3-P0.65-LS2.1-BL,1,BSS138W_C890266,C890266
U13,OESIP-14_L5.6-W3.3-P0.80-TL,1,MAX30101EFD+T,C2859066
U14,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,1,DRV2605LDGSR,C527464
U15,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TMP117AIDRVR,C699536
U16,VSON-8_L2.0-W1.5-P0.50-BL,1,TPS62840DLCR,C2071859
U2,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,XC6206P182MR,C21659
U4,WQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,BQ25619RTWR,C2864534
U5,LGA-14_L3.0-W2.5-P0.50-BR,1,LSM6DSV16XTR,C5267406
U6,SMD-18_L10.1-W9.7-P1.10-TL_SKG09F,1,MAX-M10S-00B,C4153167
U7,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS3MDLTR,C478483
U8,DFN-10_L2.6-W2.6-P0.50-BL-EP,1,"PCF85063ATL/1,118",C404360
U9,LGA-8_L3.0-W3.0-P0.80_BME688,1,BME688_C3664478,C3664478
USB1,USB-C-SMD_JS16T-TYPE-C479-DWH2-FSQ,1,JS16T-TYPE-C479-DWH2-FSQ,C49118447
X1,CRYSTAL-SMD_L3.2-W1.5-1,1,FC31M2-32.768-NTLLLDT,C2842180
